source,target,regex,code,type,hits,title,status
"/What are the class hours?","https://www.esc.org/faqs/what-are-the-class-hours/",0,301,"url",0,"","active"
"/What are the digital document requirements for the online Colorado Pilot Car course?","https://www.esc.org/faqs/what-are-the-digial-document-requirements/",0,301,"url",0,"","active"
"/What are the physical requirements/demands of a flagger?","https://www.esc.org/faqs/what-are-the-physical-requirements-demands-of-a-flagger/",0,301,"url",0,"","active"
"/What are the prerequisites for the Forklift Instructor course?","https://www.esc.org/faqs/what-are-the-prerequisites-for-the-forklift-instructor-course/",0,301,"url",0,"","active"
"/What are the prerequisites to taking the EverSafe Driving Program Instructor class?","https://www.esc.org/faqs/what-are-the-prerequisites-to-taking-the-class/",0,301,"url",0,"","active"
"/What are the requirements for being a P/EVO in Colorado?","https://www.esc.org/faqs/what-are-the-requirements-for-being-a-p-evo-in-colorado/",0,301,"url",0,"","active"
"/What are the requirements for being a P/EVO in Washington State?","https://www.esc.org/faqs/what-are-the-requirements-for-being-a-p-evo-in-washington-state/",0,301,"url",0,"","active"
"/What can I do if I lose my Flagger Certification card?","https://www.esc.org/faqs/what-can-i-do-if-i-lose-my-flagger-certification-card/",0,301,"url",0,"","active"
"/What do we submit after completing the class?","https://www.esc.org/faqs/what-do-we-submit-after-completing-the-class/",0,301,"url",0,"","active"
"/What documents must I submit for an Oregon Traffic Control Supervisor (TCS) certification?","https://www.esc.org/faqs/what-documents-must-i-submit-for-an-oregon-traffic-control-supervisor-tcs-certification/",0,301,"url",0,"","active"
"/What documents must I submit for my Oregon Traffic Control Technician (TCT) certification?","https://www.esc.org/faqs/what-documents-must-i-submit-for-my-oregon-traffic-control-technician-tct-certification/",0,301,"url",0,"","active"
"/What documents must I submit for my Washington Traffic Control Supervisor (TCS) certification?","https://www.esc.org/faqs/what-documents-must-i-submit-for-my-washington-traffic-control-supervisor-tcs-certification/",0,301,"url",0,"","active"
"/What documents must I submit for my Washington Traffic Control Technician (TCT) certification?","https://www.esc.org/faqs/what-documents-must-i-submit-for-my-washington-traffic-control-technician-tct-certification/",0,301,"url",0,"","active"
"/What documents must I submit if I am recertifying my Oregon Traffic Control Supervisor (TCS) or Traffic Control Technician (TCT) certification?","https://www.esc.org/faqs/what-documents-must-i-submit-if-i-am-recertifying-my-oregon-traffic-control-supervisor-tcs-or-traffic-control-technician-tct-certification/",0,301,"url",0,"","active"
"/What documents must I submit if I am recertifying my Washington Traffic Control Supervisor (TCS) or Traffic Control Technician (TCT) certification?","https://www.esc.org/faqs/what-documents-must-i-submit-if-i-am-recertifying-my-washington-traffic-control-supervisor-tcs-or-traffic-control-technician-tct-certification/",0,301,"url",0,"","active"
"/What does the online WITPAC course include?","https://www.esc.org/faqs/what-does-the-online-witpac-course-include/",0,301,"url",0,"","active"
"/What equipment do I need for the online class?","https://www.esc.org/faqs/what-equipment-do-i-need-for-the-online-class/",0,301,"url",0,"","active"
"/What equipment do I need to operate a pilot car in Colorado?","https://www.esc.org/faqs/what-equipment-do-i-need-to-operate-a-pilot-car-in-colorado/",0,301,"url",0,"","active"
"/What equipment do I need to operate a pilot car in Washington State?","https://www.esc.org/faqs/what-equipment-do-i-need-to-operate-a-pilot-car-in-washington-state/",0,301,"url",0,"","active"
"/What if I need a replacement card?","https://www.esc.org/faqs/what-if-i-need-a-replacement-card/",0,301,"url",0,"","active"
"/What if my equipment fails or I am unable to access Zoom?","https://www.esc.org/faqs/what-if-my-equipment-fails-or-i-am-unable-to-access-zoom/",0,301,"url",0,"","active"
"/What if the operator already has experience?","https://www.esc.org/faqs/what-if-the-operator-already-has-experience/",0,301,"url",0,"","active"
"/What is the difference between a TCS and TCT?","https://www.esc.org/faqs/what-is-the-difference-between-a-tcs-and-tct/",0,301,"url",0,"","active"
"/What is the minimum age to qualify as a flagger?","https://www.esc.org/faqs/what-is-the-minimum-age-to-qualify-as-a-flagger/",0,301,"url",0,"","active"
"/What is your Covid-19 Policy?","https://www.esc.org/faqs/what-is-your-covid-19-policy/",0,301,"url",0,"","active"
"/What is your returned check policy?","https://www.esc.org/faqs/what-is-your-returned-check-policy/",0,301,"url",0,"","active"
"/What kind of insurance do I need in order to operate as a P/EVO in Colorado?","https://www.esc.org/faqs/what-kind-of-insurance-do-i-need-in-order-to-operate-as-a-p-evo-in-colorado-2/",0,301,"url",0,"","active"
"/What kind of insurance do I need in order to operate as a P/EVO in Colorado?","https://www.esc.org/faqs/what-kind-of-insurance-do-i-need-in-order-to-operate-as-a-p-evo-in-colorado/",0,301,"url",0,"","active"
"/What kind of insurance do I need in order to operate as a P/EVO in Washington?","https://www.esc.org/faqs/what-kind-of-insurance-do-i-need-in-order-to-operate-as-a-p-evo-in-washington/",0,301,"url",0,"","active"
"/What kind of vehicle do I need to operate as a pilot in Colorado?","https://www.esc.org/faqs/what-kind-of-vehicle-do-i-need-to-operate-as-a-pilot-in-colorado/",0,301,"url",0,"","active"
"/What kind of vehicle do I need to operate as a pilot in Washington State?","https://www.esc.org/faqs/what-kind-of-vehicle-do-i-need-to-operate-as-a-pilot-in-washington-state/",0,301,"url",1,"","active"
"/What makes your program better?","https://www.esc.org/faqs/what-makes-your-program-better/",0,301,"url",0,"","active"
"/What materials will I receive in the class?","https://www.esc.org/faqs/what-materials-will-i-receive-in-the-class/",0,301,"url",0,"","active"
"/What requirements do I have to meet to earn the WITPAC certification?","https://www.esc.org/faqs/what-requirements-do-i-have-to-meet-to-earn-the-witpac-certification/",0,301,"url",0,"","active"
"/What states accept the TCS cards?","https://www.esc.org/faqs/what-states-accept-the-tcs-cards/",0,301,"url",0,"","active"
"/When do I need to re-take the course?","https://www.esc.org/faqs/when-do-i-need-to-re-take-the-course/",0,301,"url",0,"","active"
"/When is retraining required?","https://www.esc.org/faqs/when-is-retraining-required/",0,301,"url",0,"","active"
"/Where are the classes located?","https://www.esc.org/faqs/where-are-the-classes-located/",0,301,"url",0,"","active"
"/Where do I begin?","https://www.esc.org/faqs/where-do-i-begin/",0,301,"url",0,"","active"
"/Where will the WITPAC instructor-led classes be held?","https://www.esc.org/faqs/where-will-the-witpac-instructor-led-classes-be-held/",0,301,"url",0,"","active"
"/Where will WITPAC courses be offered?","https://www.esc.org/faqs/where-will-witpac-courses-be-offered/",0,301,"url",0,"","disabled"
"/Who enforces certification requirements?","https://www.esc.org/faqs/who-enforces-certification-requirements/",0,301,"url",0,"","active"
"/Who is required to undergo P/EVO training?","https://www.esc.org/faqs/who-is-required-to-undergo-p-evo-training/",0,301,"url",0,"","active"
"/Who should undergo training?","https://www.esc.org/faqs/who-should-undergo-training/",0,301,"url",0,"","active"
"/WITPAC Course Policies & Fine Print","https://www.esc.org/faqs/witpac-course-policies-fine-print/",0,301,"url",0,"","active"
"/Members","https://www.esc.org/members/",0,301,"url",0,"","active"
"/Membership Application","https://www.esc.org/members/apply/",0,301,"url",0,"","active"
"/Member Portal","https://www.esc.org/members/portal/",0,301,"url",0,"","active"
"/Membership Renewal","https://www.esc.org/members/renewal-2/",0,301,"url",0,"","active"
"/Membership Renewal","https://www.esc.org/members/renewal/",0,301,"url",0,"","active"
"/My account","https://www.esc.org/my-account/",0,301,"url",0,"","active"
"/Thank You Page &#8211; Onsites","https://www.esc.org/onsite-thank-you/",0,301,"url",0,"","active"
"/Flagger Replacement Card","https://www.esc.org/order/flagger-replacement/",0,301,"url",0,"","active"
"/Pilot Car Replacement Card","https://www.esc.org/order/pevo-replacement/",0,301,"url",0,"","active"
"/TCS Replacement Card","https://www.esc.org/order/tcs-replacement/",0,301,"url",0,"","active"
"/AASC","https://www.esc.org/partner/aasc/",0,301,"url",0,"","active"
"/Inland Northwest AGC","https://www.esc.org/partner/inland-northwest-agc/",0,301,"url",0,"","active"
"/SCRA Net","https://www.esc.org/partner/scra-net/",0,301,"url",0,"","active"
"/Sologic","https://www.esc.org/partner/sologic/",0,301,"url",0,"","active"
"/WA Cities Insurance Authority","https://www.esc.org/partner/wa-cities-insurance-authority/",0,301,"url",0,"","active"
"/Current Pilot Car Operator List","https://www.esc.org/patrol/",0,301,"url",0,"","active"
"/P/EVO Student Resources","https://www.esc.org/pevo-student-resources/",0,301,"url",0,"","active"
"/P/EVO Training Course Video and Slide Samples","https://www.esc.org/pevolearning/",0,301,"url",0,"","active"
"/PIT Training Demo","https://www.esc.org/pit-training-demo/",0,301,"url",0,"","active"
"/Capacitación de Seguridad para el Operador de Vehículos Industriales","https://www.esc.org/product/capacitacion-de-seguridad-para-el-operador-de-vehiculos-industriales/",0,301,"url",0,"","active"
"/EverSafe Driving Program 2022","https://www.esc.org/product/eversafe-driving-program-2022-new/",0,301,"url",0,"","active"
"/Forklift Operator Certification Training (Construction)","https://www.esc.org/product/forklift-operator-certification-training-construction/",0,301,"url",0,"","active"
"/Forklift Operator Certification Training","https://www.esc.org/product/forklift-operator-certification-training/",0,301,"url",0,"","active"
"/Programs","https://www.esc.org/program/",0,301,"url",0,"","active"
"/Custom Services","https://www.esc.org/program/custom/",0,301,"url",0,"","active"
"/EverSafe Driving Program®","https://www.esc.org/program/eversafe/",0,301,"url",0,"","active"
"/EverSafe Instructor Certification","https://www.esc.org/program/eversafe/instructor/",0,301,"url",0,"","active"
"/EverSafe Driving Program® Online (2022 Version)","https://www.esc.org/program/eversafe/online/",0,301,"url",0,"","active"
"/Forklift Program","https://www.esc.org/program/forklift/",0,301,"url",0,"","active"
"/Forklift Operator Training and Certification (Blended)","https://www.esc.org/program/forklift/blended/",0,301,"url",0,"","active"
"/Online Forklift Construction","https://www.esc.org/program/forklift/class7/",0,301,"url",0,"","active"
"/Forklift Instructor Certification","https://www.esc.org/program/forklift/instructor/",0,301,"url",0,"","active"
"/Online Forklift Operator Training","https://www.esc.org/program/forklift/online/",0,301,"url",0,"","active"
"/Pilot Car","https://www.esc.org/program/pilot-car/",0,301,"url",0,"","active"
"/Arizona Pilot Car","https://www.esc.org/program/pilot-car/arizona/",0,301,"url",0,"","active"
"/Colorado Pilot Car Certification Online","https://www.esc.org/program/pilot-car/colorado-online/",0,301,"url",0,"","active"
"/Florida Pilot Car","https://www.esc.org/program/pilot-car/florida/",0,301,"url",0,"","active"
